ticker,entry,exit,shares,opened,closed,reason,pnl,ret
MSFT,109.38,105.91,4,2018-09-10,2018-10-11,thesis,-15.879999999999995,-0.031724264033644145
VRSK,120.79,113.33,4,2018-09-20,2018-10-11,thesis,-31.840000000000032,-0.061760079476777974
DFEN,61.4,48.93,7,2018-10-08,2018-10-11,thesis,-87.28999999999999,-0.2030944625407166
ETN,86.67,79.53,5,2018-10-08,2018-10-11,thesis,-37.7,-0.08238144686742821
HII,244.47,226.25,2,2018-08-31,2018-10-12,thesis,-38.44,-0.07452857201292595
KO,45.77,44.91,10,2018-09-06,2018-10-15,thesis,-10.600000000000065,-0.018789600174787147
DXCM,33.3,32.25,14,2018-10-16,2018-10-19,thesis,-16.69999999999996,-0.03153153153153143
URA,13.09,11.88,35,2018-10-16,2018-10-24,thesis,-42.349999999999966,-0.09243697478991586
DXCM,32.86,31.21,14,2018-10-22,2018-10-24,thesis,-25.09999999999998,-0.05021302495435176
BA,363.76999,359.26999,1,2018-10-25,2018-10-26,thesis,-6.5,-0.012370454198269654
UNG,106.64,127.2,4,2018-10-23,2018-11-15,trail,82.24000000000001,0.19279819954988753
DXCM,33.23,33.9375,14,2018-11-06,2018-11-15,trail,7.905000000000044,0.021291002106530232
DXCM,34.5375,30.4025,13,2018-11-16,2018-11-21,thesis,-55.755000000000024,-0.1197249366630474
GLD,116.37,114.95,4,2018-11-05,2018-11-27,thesis,-5.680000000000007,-0.01220245767809569
SBUX,55.89,65.47,8,2018-10-04,2018-12-07,trail,74.63999999999999,0.17140812309894438
WEC,67.67,72.050003,7,2018-10-02,2018-12-17,trail,28.660021000000015,0.06472591990542331
AON,152.31,150.37,3,2018-10-26,2018-12-17,thesis,-7.819999999999993,-0.01273718074978658
CVS,77.84,70.69,6,2018-11-26,2018-12-17,thesis,-44.900000000000034,-0.09185508735868453
KO,49.02,47.9,9,2018-11-23,2018-12-19,thesis,-12.080000000000041,-0.02284781721746232
FRT,131.56,121.45,3,2018-12-13,2018-12-20,thesis,-32.33,-0.0768470659775008
BYDDY,2.175,2.165,216,2018-10-16,2018-12-21,thesis,-4.159999999999954,-0.0045977011494251485
PG,89.46,87.36,5,2018-10-24,2018-12-24,thesis,-12.499999999999972,-0.023474178403755763
KMB,113.5,110.75,4,2018-12-07,2018-12-26,thesis,-13.0,-0.024229074889867808
NHI,78.74,76.36,5,2018-12-18,2018-12-27,thesis,-13.899999999999977,-0.03022606045212084
PG,92.019997,90.64,5,2018-12-27,2019-01-03,thesis,-8.899985000000015,-0.014996707726473879
SBUX,64.4,61.53,7,2018-12-31,2019-01-03,thesis,-22.090000000000032,-0.04456521739130437
JNUG,457.5,510.0,1,2019-01-17,2019-02-07,trail,52.5,0.11475409836065564
MCD,178.28,174.14999,2,2019-01-04,2019-02-13,thesis,-10.260019999999997,-0.023165862687906658
DXCM,35.9025,34.8325,12,2019-01-30,2019-02-28,thesis,-14.840000000000003,-0.02980293851403104
SLV,14.3,14.15,32,2018-12-27,2019-03-04,thesis,-4.800000000000011,-0.010489510489510523
NHI,76.91,77.99,6,2019-01-07,2019-03-04,thesis,4.47999999999999,0.014042387205825069
EWY,63.46,60.69,7,2019-01-25,2019-03-08,thesis,-19.390000000000022,-0.043649543019224746
GLD,119.24,122.24,3,2018-12-20,2019-03-11,thesis,9.0,0.025159342502515836
NUGT,87.15,95.050003,5,2019-01-25,2019-03-18,thesis,39.50001499999999,0.09064834193918525
FRT,133.59,131.28,3,2019-02-28,2019-03-19,thesis,-8.930000000000007,-0.017291713451605628
USB,51.21,48.28,9,2019-02-12,2019-03-22,thesis,-28.369999999999997,-0.05721538761960554
GLW,34.2,33.24,13,2019-03-11,2019-03-27,thesis,-14.480000000000011,-0.028070175438596467
BCS,8.31,8.0,55,2019-02-04,2019-03-29,thesis,-19.050000000000026,-0.03730445246690739
QLYS,85.85,82.97,5,2019-02-27,2019-04-02,thesis,-16.399999999999977,-0.0335468841001747
PODD,89.92,82.72,5,2019-02-25,2019-04-17,thesis,-38.000000000000014,-0.08007117437722422
