ticker,entry,exit,shares,opened,closed,reason,pnl,ret
LOW,179.49001,193.67,2,2021-03-19,2021-04-07,time-exit,26.35997999999995,0.07900155557403998
COPX,37.45,36.79,13,2021-04-05,2021-04-13,time-exit,-8.580000000000048,-0.017623497997329873
USO,41.84,43.27,11,2021-04-01,2021-04-15,time-exit,15.729999999999997,0.03417782026768634
DBO,10.91,11.25,45,2021-04-01,2021-04-15,time-exit,15.299999999999994,0.031164069660861493
COPX,42.049999,39.98,11,2021-05-05,2021-05-21,time-exit,-22.76998900000003,-0.04922708797210684
TTEC,104.29,101.2,4,2021-05-11,2021-05-21,time-exit,-14.360000000000014,-0.029628919359478423
DBO,11.84,12.27,42,2021-05-12,2021-06-04,time-exit,18.059999999999988,0.036317567567567544
SNY,51.82,52.23,9,2021-05-07,2021-06-07,time-exit,1.6899999999999693,0.007912003087610975
VOO,382.95001,390.25,1,2021-05-14,2021-06-15,time-exit,7.29998999999998,0.019062514190820723
TMF,258.70001,278.89999,1,2021-06-17,2021-07-06,time-exit,20.199979999999982,0.07808264097090678
QQQ,345.34,360.19,1,2021-06-17,2021-07-06,time-exit,14.850000000000023,0.043001100364857825
USO,49.52,49.72,10,2021-07-08,2021-07-28,time-exit,1.9999999999999574,0.0040387722132471104
NFLX,53.105,51.735,9,2021-07-20,2021-08-04,time-exit,-14.329999999999977,-0.025797947462574133
INH,36.25,35.0,13,2021-07-29,2021-08-18,time-exit,-18.25,-0.03448275862068961
JBHT,182.71001,169.089996,2,2021-08-30,2021-09-20,time-exit,-29.240027999999995,-0.07454443245884557
QQQ,367.73001,357.95999,1,2021-08-20,2021-09-30,time-exit,-9.770019999999988,-0.02656845983279954
USO,56.2,47.77,8,2021-11-23,2021-11-30,stop,-67.44,-0.15000000000000002
TMF,319.89999,297.5,1,2021-12-03,2021-12-17,time-exit,-22.399990000000003,-0.07002185276717265
QQQ,397.82999,389.20999,1,2021-12-07,2021-12-21,time-exit,-8.620000000000005,-0.021667546984077357
WEC,96.98,96.35,5,2021-12-15,2022-01-06,time-exit,-5.150000000000048,-0.006496184780367176
VOO,427.23999,427.10001,1,2021-11-29,2022-01-13,time-exit,-0.13997999999998,-0.00032763786929213
KEY,25.24,26.22,19,2022-01-26,2022-02-11,time-exit,16.620000000000008,0.03882725832012679
NEM,73.96,79.54,6,2022-03-18,2022-04-06,time-exit,31.480000000000075,0.07544618712817752
LLY,297.26999,285.70001,1,2022-04-28,2022-05-10,time-exit,-13.569979999999987,-0.03892078039899016
IRM,54.58,53.51,9,2022-05-05,2022-05-17,time-exit,-11.630000000000003,-0.01960425064126059
VRTX,263.089996,287.32001,1,2022-06-17,2022-07-01,time-exit,22.23001400000004,0.09209781583637278
DBO,20.09,17.0765,24,2022-06-16,2022-07-05,stop,-72.32400000000001,-0.15000000000000002
USO,87.66,74.511,5,2022-06-16,2022-07-05,stop,-65.745,-0.15000000000000002
QCLN,64.11,66.31,7,2022-08-23,2022-09-13,time-exit,15.40000000000002,0.03431601934175643
XBI,87.42,83.27,5,2022-09-08,2022-09-16,time-exit,-20.75000000000003,-0.04747197437657291
LABU,194.39999,165.2399915,2,2022-09-08,2022-09-16,stop,-58.319997,-0.15000000000000002
PEG,67.23,63.97,7,2022-09-07,2022-09-22,time-exit,-24.820000000000036,-0.04849025732559875
KEYS,169.67,158.71001,2,2022-09-07,2022-09-22,time-exit,-23.919979999999953,-0.06459592149466598
NFLX,28.957,29.572,16,2022-10-21,2022-10-28,time-exit,7.839999999999975,0.02123838795455324
LOW,215.13,210.97,2,2022-11-16,2022-11-25,time-exit,-10.319999999999993,-0.019337144982103815
CTAS,115.445,113.125,4,2022-11-30,2022-12-22,time-exit,-11.279999999999973,-0.02009614968166651
PPG,135.22,125.86,3,2022-11-30,2022-12-22,time-exit,-30.08,-0.06922052950746926
COPX,36.19,35.43,13,2022-11-30,2022-12-22,time-exit,-9.879999999999974,-0.02100027631942525
GLD,167.84,174.10001,2,2022-12-01,2023-01-09,time-exit,12.520019999999988,0.03729748570066738
AIA,61.73,64.85,7,2023-01-06,2023-01-31,time-exit,21.839999999999982,0.05054268589016675
YINN,67.62,57.477000000000004,7,2023-02-01,2023-02-06,stop,-71.001,-0.15000000000000002
KEY,20.049999,18.13,23,2023-02-02,2023-02-23,time-exit,-46.15997700000001,-0.09576055340451639
QCLN,55.45,51.95,8,2023-02-13,2023-02-24,time-exit,-28.0,-0.06311992786293963
LH,213.2646,205.63574,2,2023-02-15,2023-02-28,time-exit,-17.257720000000006,-0.03577180647889988
GLD,172.49001,185.53,2,2023-03-03,2023-04-17,time-exit,26.079979999999978,0.07559852306808956
PPG,140.039993,142.96001,3,2023-04-03,2023-04-24,time-exit,6.760051000000004,0.020851307811762032
NEM,51.35,48.27,9,2023-04-04,2023-04-27,time-exit,-29.719999999999985,-0.05998052580331059
COPX,40.029999,37.0099983,11,2023-04-24,2023-05-18,time-exit,-33.22000769999997,-0.07544343680847954
NEM,49.41,43.27,9,2023-05-04,2023-05-18,time-exit,-57.25999999999994,-0.12426634284557769
VOO,378.81,395.029999,1,2023-04-27,2023-06-09,time-exit,16.219998999999973,0.042818296771468534
AIA,62.19,61.049999,7,2023-06-13,2023-07-19,time-exit,-7.980006999999986,-0.018330937449750784
AVB,189.27,186.38,2,2023-06-30,2023-07-27,time-exit,-7.78000000000003,-0.015269192159349187
XBI,85.76,81.77,5,2023-07-17,2023-07-27,time-exit,-19.950000000000045,-0.04652518656716431
YINN,42.02,39.0099983,11,2023-08-03,2023-08-10,time-exit,-33.11001870000004,-0.07163259638267505
KMI,18.11,17.67,25,2023-07-24,2023-08-14,time-exit,-12.999999999999943,-0.02429596907785736
COPX,41.75,35.4875,11,2023-07-31,2023-08-18,stop,-68.88750000000003,-0.15000000000000002
NFLX,42.755,44.868,10,2023-08-23,2023-09-05,time-exit,19.129999999999995,0.04942112033680268
LOW,225.74001,230.44,2,2023-08-22,2023-09-12,time-exit,7.399979999999971,0.020820367643290094
DBO,16.08,17.69,28,2023-08-18,2023-09-25,time-exit,45.080000000000084,0.10012437810945296
PRU,94.67,94.86,4,2023-08-31,2023-09-28,time-exit,-1.240000000000009,0.0020069715855075554
IRM,63.45,59.060001,7,2023-09-20,2023-10-23,time-exit,-32.72999300000002,-0.06918832151300236
USO,78.99,78.46,5,2023-10-13,2023-10-25,time-exit,-2.6500000000000057,-0.006709710089884857
DBO,17.52,16.95,26,2023-10-03,2023-10-26,time-exit,-14.820000000000007,-0.03253424657534243
COP,122.019997,115.029999,3,2023-11-02,2023-11-15,time-exit,-22.969994,-0.0572856758880268
KEY,11.92,12.39,38,2023-11-14,2023-11-30,time-exit,15.860000000000024,0.03942953020134232
VRTX,385.76001,353.95001,1,2023-11-06,2023-12-07,time-exit,-33.81,-0.08246059512493276
TMF,57.16,64.3,8,2023-12-05,2023-12-14,tp,57.120000000000005,0.12491252624212734
KMI,17.57,17.64,26,2023-11-30,2023-12-29,time-exit,-0.1799999999999926,0.003984063745019917
GLD,187.63,187.91,2,2023-12-13,2024-01-16,time-exit,0.5600000000000023,0.0014922986729202226
LABU,138.28,117.538,3,2024-01-08,2024-01-16,stop,-62.22600000000001,-0.15000000000000002
JBHT,196.94,205.88,2,2024-01-18,2024-01-29,time-exit,15.879999999999995,0.04539453640702762
IVZ,17.39,15.91,26,2024-01-22,2024-02-08,time-exit,-40.48000000000001,-0.08510638297872342
COPX,36.72,34.61,12,2024-01-30,2024-02-09,time-exit,-25.319999999999993,-0.05746187363834421
TMF,59.26,54.28,7,2024-01-31,2024-02-09,time-exit,-34.85999999999998,-0.08403644954438061
INH,22.4,24.44,20,2024-03-06,2024-03-14,tp,38.800000000000054,0.09107142857142869
GLD,192.89,218.5,2,2024-03-01,2024-04-09,tp,51.22000000000003,0.1327699725231999
INH,24.65,26.6,18,2024-03-18,2024-04-09,time-exit,33.10000000000005,0.07910750507099396
KMI,17.6,17.69,25,2024-03-15,2024-04-16,time-exit,0.24999999999999645,0.005113636363636376
AVB,183.82001,178.98,2,2024-03-15,2024-04-16,time-exit,-11.680020000000013,-0.026330158506682744
KMI,18.21,19.08,25,2024-04-18,2024-05-10,time-exit,19.749999999999936,0.047775947281713194
KEYS,159.75,135.7875,2,2024-05-20,2024-06-04,stop,-49.92500000000001,-0.15000000000000002
DBO,15.5,14.85,29,2024-05-17,2024-06-06,time-exit,-18.85000000000001,-0.041935483870967794
COPX,50.07,44.32,9,2024-05-28,2024-06-14,time-exit,-51.75,-0.1148392250848812
CVX,162.3,155.13,2,2024-05-31,2024-07-10,time-exit,-16.340000000000032,-0.044177449168207095
BYDDY,10.075,10.125,45,2024-06-18,2024-07-17,time-exit,0.250000000000032,0.00496277915632759
AIA,68.99,66.59,6,2024-07-03,2024-07-19,time-exit,-14.399999999999949,-0.03478765038411347
QCLN,35.68,36.34,12,2024-07-03,2024-07-19,time-exit,7.920000000000044,0.018497757847533824
AVB,203.89,202.83,2,2024-06-21,2024-07-25,time-exit,-4.119999999999948,-0.00519888174996308
TTWO,158.22,150.3,2,2024-06-21,2024-07-25,time-exit,-17.839999999999975,-0.05005688282138787
PRU,117.73,123.089996,3,2024-06-21,2024-07-25,time-exit,14.079987999999986,0.045527868852458964
DBO,16.15,14.9,28,2024-07-01,2024-07-30,time-exit,-34.99999999999995,-0.07739938080495345
WEC,83.56,89.53,5,2024-07-24,2024-08-16,time-exit,27.849999999999994,0.0714456677836286
PLUS,84.79,92.23,5,2024-08-07,2024-08-19,time-exit,35.19999999999999,0.08774619648543447
YINN,25.47,28.4,17,2024-09-23,2024-09-24,tp,49.809999999999995,0.11503729878288182
LI,25.37,29.95,18,2024-09-26,2024-10-02,tp,80.43999999999997,0.18052818289318084
IRM,115.36,120.49,3,2024-09-20,2024-10-09,time-exit,13.389999999999986,0.044469486823855764
ECL,253.17999,255.8,1,2024-08-30,2024-10-10,time-exit,0.6200100000000077,0.010348408655834085
AIA,75.81,72.91,6,2024-10-04,2024-10-29,time-exit,-17.400000000000034,-0.038253528558237826
PLUS,98.57,83.7845,4,2024-11-07,2024-11-13,stop,-61.141999999999996,-0.15000000000000002
ECL,256.45001,247.38,1,2024-10-28,2024-11-26,time-exit,-11.070010000000025,-0.03536755564953975
XBI,102.44,98.85,4,2024-11-06,2024-11-26,time-exit,-14.360000000000014,-0.03504490433424445
PEG,93.019997,85.23,4,2024-11-25,2024-12-23,time-exit,-33.159988,-0.08374540153984311
KEYS,171.67999,162.71001,2,2024-11-25,2024-12-23,time-exit,-19.939959999999985,-0.05224825560625901
NFLX,90.905,84.826,5,2024-12-20,2025-01-15,time-exit,-32.39500000000004,-0.06687200924041592
EXPE,184.75,186.52,2,2024-12-20,2025-01-15,time-exit,1.5400000000000205,0.00958051420838979
AXP,298.64999,312.32001,1,2024-12-20,2025-01-15,time-exit,11.670020000000022,0.04577271206337574
DBO,15.46,14.72,29,2025-01-13,2025-01-31,time-exit,-21.460000000000008,-0.047865459249676556
WEC,100.88,103.11,4,2025-01-27,2025-02-18,time-exit,6.920000000000016,0.022105471847740032
WMB,57.46,56.18,7,2025-02-13,2025-02-25,time-exit,-10.960000000000008,-0.022276366167768957
LI,27.46,31.04,16,2025-02-21,2025-02-26,tp,55.27999999999997,0.1303714493809176
AIA,73.17,73.61,6,2025-02-12,2025-03-10,time-exit,2.6399999999999864,0.0060133934672679246
GLD,258.049988,280.75,1,2025-01-30,2025-03-20,time-exit,22.700012000000015,0.08796749876229404
COPX,41.39,43.18,11,2025-05-23,2025-06-11,time-exit,19.68999999999999,0.04324716115003624
QCLN,30.43,32.63,15,2025-05-23,2025-06-11,time-exit,33.00000000000004,0.07229707525468299
AIA,76.07,79.18,6,2025-05-12,2025-06-16,time-exit,18.660000000000082,0.040883396871302935
LI,28.08,27.11,16,2025-06-23,2025-06-30,time-exit,-17.519999999999982,-0.03454415954415946
USO,74.82,76.93,6,2025-06-11,2025-07-09,time-exit,12.660000000000082,0.02820101577118428
COPX,43.11,44.34,10,2025-06-24,2025-07-15,time-exit,12.30000000000004,0.02853166318719569
IRM,102.3,98.24,4,2025-06-27,2025-07-16,time-exit,-18.24000000000001,-0.03968719452590419
YINN,44.99,43.12,10,2025-07-18,2025-08-05,time-exit,-18.700000000000045,-0.041564792176039256
CVX,150.039993,156.55,3,2025-07-22,2025-08-15,time-exit,17.530021000000005,0.043388478430547606
COPX,47.26,49.81,9,2025-08-13,2025-08-29,time-exit,22.95000000000004,0.05395683453237421
LABU,76.2,83.94,6,2025-09-02,2025-09-18,tp,46.43999999999997,0.10157480314960621
GLD,318.070007,348.82,1,2025-08-29,2025-09-29,tp,30.749993000000018,0.0966768080084961
XBI,92.88,103.64,4,2025-09-02,2025-10-06,time-exit,43.04000000000002,0.11584840654608097
SPYU,26.47,26.25,17,2025-09-26,2025-10-17,time-exit,-3.7399999999999807,-0.008311295806573415
IVZ,23.45,23.7,19,2025-10-14,2025-10-31,time-exit,2.75,0.010660980810234477
LABU,117.62,132.51,3,2025-11-07,2025-11-11,tp,44.66999999999996,0.12659411664682874
IRM,104.12,91.37,4,2025-11-07,2025-11-14,time-exit,-53.0,-0.12245485977718018
AIA,95.12,94.71,4,2025-10-13,2025-11-25,time-exit,-1.6400000000000432,-0.004310344827586299
KEYS,177.67,197.14,2,2025-11-24,2025-11-25,tp,36.94,0.109585186019024
XBI,109.29,122.79,4,2025-11-06,2025-11-26,tp,54.0,0.1235245676640131
KEYS,195.46001,214.14,2,2025-11-25,2025-12-11,time-exit,35.35997999999995,0.09556936991868548
SNY,50.28,48.86,9,2025-11-25,2025-12-11,time-exit,-14.780000000000015,-0.02824184566428012
COPX,67.47,68.33,6,2025-12-03,2025-12-16,time-exit,5.159999999999997,0.012746405809989536
COP,96.8,91.8,4,2025-12-10,2025-12-24,time-exit,-22.0,-0.051652892561983466
KEY,19.26,20.64,24,2025-12-05,2025-12-31,time-exit,31.119999999999976,0.07165109034267902
PLUS,89.53,88.9,5,2025-12-19,2026-01-21,time-exit,-5.149999999999977,-0.007036747458952219
KEYS,202.47,216.69,2,2025-12-19,2026-01-21,time-exit,26.439999999999998,0.0702326270558602
GLD,395.44,467.21,1,2025-12-12,2026-01-26,tp,71.76999999999998,0.18149403196439406
XBI,122.089996,124.75,3,2026-01-06,2026-01-30,time-exit,7.980012000000002,0.02178723963591578
KEY,21.09,21.7,22,2026-01-20,2026-02-13,time-exit,11.419999999999987,0.02892366050260775
XBI,126.74,123.5,3,2026-02-19,2026-03-03,time-exit,-9.719999999999985,-0.025564147072747345
SCWX,10.674,10.668,44,2026-01-12,2026-03-04,time-exit,-2.26400000000001,-0.0005621135469364713
TMF,39.91,36.13,11,2026-03-09,2026-03-30,time-exit,-41.579999999999934,-0.09471310448509129
USO,134.97,143.0,3,2026-05-07,2026-05-14,time-exit,24.090000000000003,0.059494702526487364
COPX,83.57,81.85,5,2026-05-06,2026-05-18,time-exit,-8.599999999999994,-0.020581548402536787
AIA,141.89999,133.25,3,2026-05-27,2026-06-10,time-exit,-25.949970000000008,-0.06095835524724136
SPYU,34.87,31.23,13,2026-06-15,2026-06-23,time-exit,-47.319999999999965,-0.10438772583882983
XBI,145.86,163.87,3,2026-06-22,2026-07-07,time-exit,54.02999999999997,0.12347456465103512
COPX,85.97,73.0745,5,2026-06-12,2026-07-08,stop,-64.47749999999999,-0.15000000000000002
WMB,77.92,75.98,6,2026-06-26,2026-07-14,time-exit,-13.639999999999986,-0.024897330595482492
SCWX,11.626,11.724,40,2026-06-12,2026-07-17,time-exit,1.9200000000000301,0.008429382418716713
CTAS,192.37,215.32,2,2026-07-15,2026-07-28,tp,43.89999999999998,0.11930134636377798
SPYU,32.3,36.7,14,2026-07-31,2026-08-04,tp,61.60000000000008,0.1362229102167185
XBI,154.25999,151.88,3,2026-07-17,2026-08-04,end-of-test,-7.139969999999977,-0.015428433516688211
